hardness;color;Streak;lustre;transp;name;runame;link1;link2
1;3;3;7;2;Talc;Тальк;https://en.wikipedia.org/wiki/Talc;https://geology.com/minerals/talc.shtml
2;1;1;3;3;Graphite;Графит;https://en.wikipedia.org/wiki/Graphite;https://geology.com/minerals/graphite.shtml
2;6;3;7;3;Sulfur;Сера;https://en.wikipedia.org/wiki/Sulfur;https://geology.com/minerals/sulfur.shtml
2;3;3;1;2;Gypsum;Гипс;https://en.wikipedia.org/wiki/Gypsum;https://geology.com/minerals/gypsum.shtml
3;4;3;1;1;Sylvite;Сильвин;https://en.wikipedia.org/wiki/Sylvite;https://www.britannica.com/science/sylvite
3;3;3;1;1;Halite;Галит;https://en.wikipedia.org/wiki/Halite;https://geology.com/minerals/halite.shtml
4;8;3;1;3;Serpentine;Серпентин;https://en.wikipedia.org/wiki/Serpentine_subgroup;https://geology.com/minerals/serpentine.shtml
6;1;1;4;3;Magnetite;Магнетит;https://en.wikipedia.org/wiki/Magnetite;https://geology.com/minerals/magnetite.shtml
5;1;2;4;3;Iron;Железо;https://en.wikipedia.org/wiki/Iron;https://geology.com/rocks/iron-ore.shtml
7;4;9;4;3;Hematite;Гематит;https://en.wikipedia.org/wiki/Hematite;https://geology.com/minerals/hematite.shtml
7;2;3;1;3;Andalusite;Андалюзит;https://en.wikipedia.org/wiki/Andalusite;https://geology.com/minerals/andalusite.shtml
3;2;3;1;1;Anhydrite;Ангидрит;https://en.wikipedia.org/wiki/Anhydrite;https://geology.com/minerals/anhydrite.shtml
5;8;3;1;1;Apatite;Апатит;https://en.wikipedia.org/wiki/Apatite;https://geology.com/minerals/apatite.shtml
5;7;3;1;1;Apatite;Апатит;https://en.wikipedia.org/wiki/Apatite;https://geology.com/minerals/apatite.shtml
6;3;1;4;3;Arsenopyrite;Арсенопирит;https://en.wikipedia.org/wiki/Arsenopyrite;https://geology.com/minerals/arsenopyrite.shtml
6;1;2;1;2;Augite;Авгит;https://en.wikipedia.org/wiki/Augite;https://geology.com/minerals/augite.shtml
4;7;7;1;1;Azurite;Азурит;https://en.wikipedia.org/wiki/Azurite;https://geology.com/minerals/azurite.shtml
3;7;3;1;1;Barite;Барит;https://en.wikipedia.org/wiki/Baryte;https://geology.com/minerals/barite.shtml
3;5;3;6;3;Bauxite;Боксит;https://en.wikipedia.org/wiki/Bauxite;https://geology.com/minerals/bauxite.shtml
6;7;3;1;1;Benitoite;Бенитоит;https://en.wikipedia.org/wiki/Benitoite;https://geology.com/gemstones/benitoite/
8;6;0;1;2;Beryl;Берилл;https://en.wikipedia.org/wiki/Beryl;https://geology.com/minerals/beryl.shtml
7;8;3;1;1;Olivine;Оливин;-;-
6;0;3;0;0;Plagioclase;Плагиоклаз;-;-
7;4;3;1;1;Garnet;Гранат;-;-
7;3;3;1;1;Quartz;Кварц;-;-
3;1;3;1;1;Biotite;Биотит;-;-
3;3;3;1;1;Calcite;Кальцит;-;-
4;6;3;1;1;Dolomite;Доломит;-;-
2;3;3;6;2;Kaolinite;Каолинит;-;-
6;1;9;4;3;Ilmenite;Ильменит;-;-
